LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"1560040100","1560012500","1560016400","0",1.00000000,"104",남중로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,566.02967881300
"1560040200","1560016400","1560012500","0",1.00000000,"104",남중로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,566.02957280300
"1560053600","1560016500","1560016400","0",2.00000000,"104",장기로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","32",,nodelinkmanager2017010410,,,727.46822901000
"1560053500","1560016400","1560016500","0",2.00000000,"104",장기로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","32",,nodelinkmanager2017010410,,,727.46712923300
"1560037600","1560014900","1560011800","0",5.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","31",,nodelinkmanager2017010410,,,486.82820422600
"1560037500","1560011800","1560014900","0",5.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","31",,nodelinkmanager2017010410,,,486.82819748400
"1520005700","1520000300","1520003200","0",1.00000000,"104",통학길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","49",,nodelinkmanager2017010410,,,624.06216062600
"1520009000","1520003900","1520003000","0",4.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,394.00723087200
"1520008900","1520003000","1520003900","0",4.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,394.00723089100
"1520005400","1520003000","1520002100","0",4.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,707.26694949900
